Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-,Unnamed: 24_level_1
91,91,11/7/25,N,Santa Clara,WCC,McNeese St.,H,"W, 79-67",120.3,102.7,67.4,117.2,48.5,22.3,56.8,37.9,99.4,49,20.8,29,45.1,86.1,5,
92,92,11/3/25,N,Montana St.,BSky,Colorado,A,"L, 84-78",120.2,114.2,68.8,113.4,58,16,21.4,30.4,122.1,54.8,13.1,35.5,75,64.3,-1,
93,93,11/8/25,N,Nebraska,B10,FIU,H,"W, 96-66",120,89.3,76.8,125,67.9,19.5,28.1,11.9,85.9,43.7,26,38.6,8.5,96.8,17,
94,94,11/8/25,N,George Washington,A10,South Florida,N,"W, 99-95",119.9,104.2,85,116.4,62.7,24.7,34.4,74.5,111.7,47.2,14.1,36.4,51.4,83.3,1,
95,95,11/3/25,N,Radford,BSth,Western Illinois,H,"W, 80-75",119.7,130.1,62.1,128.8,58.8,11.3,43.3,60.8,120.7,52.5,17.7,46.9,33.9,27.9,5,
96,96,11/3/25,N,Grand Canyon,MWC,Purdue Fort Wayne,H,"W, 90-71",119.2,96.8,75.1,119.8,65.8,20,25,35.1,94.5,48.4,17.3,15.8,15.6,91.6,15,
97,97,11/3/25,N,Florida,SEC,Arizona,N,"L, 93-87",119.1,99.7,81.7,106.6,47.9,18.4,37,42.9,113.9,50.8,17.1,35.3,62.3,88.6,-1,
98,98,11/3/25,N,Gonzaga,WCC,Texas Southern,H,"W, 98-43",119,76.2,72.5,135.1,58.7,17.9,55.9,30.4,59.3,28,23.4,24.5,28.8,99.4,12,
99,99,11/6/25,N,TCU,B12,Saint Francis,H,"W, 104-63",118.7,94.4,77.6,134.1,61.5,19.3,46.9,43.1,81.2,46,20.6,13.2,9.5,93.3,17,
100,100,11/7/25,N,Florida St.,ACC,Alabama St.,H,"W, 101-64",118.4,89.9,78.3,128.9,59.5,19.1,43.6,18.9,81.7,40.8,21.7,28.9,29.2,96,16,
